병원코드(쇼핑몰),병원명,주소,병원코드(SAP)
4841,화순미의원,전남 화순군 화순읍 칠충로 141-7 (교리. 힐스테이트 화순),sap128
4842,유앤아이부산점,부산 부산진구 중앙대로 677 (부전동. 파고다 아카데미),sap129
4844,프리티플러스,전북 전주시 완산구 유연로 291 (서신동),sap130
4845,뮤즈의원 청주,충북 청주시 흥덕구 대농로 33 (복대동),sap131
4847,빈센트의원,서울 중구 퇴계로 116-1 (회현동3가. 삼영빌딩),sap132
4848,우아성형외과의원,서울 강남구 논현로 815 (신사동. 부르다문 빌딩),sap133
4850,유픽의원,서울 서초구 강남대로 403 (서초동),sap134
4851,톡스앤필,경기 안산시 단원구 예술대학로 17 (고잔동. 안산중앙노블레스),sap135
4852,뷰티라인의원,광주 광산구 수완동 1430,sap136
4854,데이뷰의원 건대입구역,서울 광진구 동일로20길 106 (자양동),sap137
4855,뷰티라운지의원 창원점,경남 창원시 성산구 상남로 93 (상남동),sap138
4857,더맑은의원,전북특별자치도 익산시 무왕로 1068 (영등동),sap139
4858,닥터디자이너의원/울산,울산 남구 삼산로 253 (달동. KB증권울산사옥),sap140
4859,넬의원,부산 부산진구 서면로 60 (부전동),sap141
4860,울산 예쁨주의 쁨의원,울산 남구 삼산로 258 (달동),sap142
4861,예쁨주의쁨의원,경기 부천시 원미구 길주로 219 (중동. 드림빌딩),sap143
4862,블리비의원전주점,전북 전주시 완산구 홍산로 249 (효자동2가. 대신빌딩),sap144
4863,포에버의원 위례,서울 송파구 위례광장로 188 (장지동. 아이온스퀘어),sap145
4864,나인의원,서울 은평구 통일로 855-8 (갈현동. 연신내진원와이타운),sap146
4865,지우의원,서울 강남구 테헤란로 107 (역삼동. 메디타워),sap147
4868,리즈온의원 수원점,경기 수원시 팔달구 권광로 163 (인계동. 보성빌딩),sap148
4869,바로그의원거제점,경남 거제시 거제중앙로 1941,sap149
4870,다시봄날의원,인천 중구 하늘중앙로195번길 21 (중산동),sap150
4872,그대고운피부과,부산 해운대구 세실로 64 (좌동. 화목데파트),sap151
4874,주식회사미라클덤,강원특별자치도 춘천시 방송길 77 (온의동. 춘천 센트럴타워 푸르지오),sap152
4875,엘리 피부과 의원,경기 용인시 수지구 성복2로 58 (성복동. 영진빌딩),sap153
4876,잇츠미의원 계룡점,충남 계룡시 장안로 43 (금암동. 대승빌딩),sap154
4877,엘린의원,부산 금정구 중앙대로1841번길 2 (구서동. 유원타워),sap155
4878,앨리스의원,대전 서구 대덕대로 203 (둔산동. 미래빌딩),sap156
4879,뷰티온의원 안양범계점,경기 안양시 동안구 시민대로 202 (호계동. 에메랄드빌딩),sap157
4880,톡스앤필의원,경기 파주시 청암로17번길 55 (목동동),sap158
4881,밴스의원 광주,광주 서구 죽봉대로 68 (농성동),sap159
4882,의료법인영진의료재단,경남 김해시 번화1로 36 (대청동),sap160
4883,엘루나의원,대전 서구 대덕대로 198 (둔산동),sap161
4884,블리비의원 명동,서울 중구 남대문로 84 (남대문로2가),sap162
4885,톡스앤필의원,광주 서구 운천로 207 (치평동. 신환빌딩),sap163
4886,팝의원,대전 서구 대덕대로175번길 16 (둔산동),sap164
4887,유앤아이의원 평택점,경기 평택시 평남로 862 (비전동),sap165
4889,블리비의원 광주,서울특별시 마포구 양화로 161 (동교동) 케이스퀘어,sap166
4890,뷰티라운지 의원,충남 천안시 서북구 불당21로 67-26 (불당동),sap167
4893,멜로우피부과의원,서울 도봉구 마들로13길 61 (창동. 씨드큐브 창동),sap168
4895,닥터윤 뷰티플의원,서울 강남구 학동로20길 55 (논현동. 해림빌딩),sap169
4896,디엘(DL)성형외과의원,서울 서초구 강남대로 563 (잠원동. 페이토),sap170
4897,톤즈의원의정부점,경기 의정부시 시민로 80 (의정부동. 센트럴타워),sap171
4900,서울예쁨의원,경기 남양주시 다산지금로 139 (다산동),sap172
4902,광주미의원,광주 서구 농성동 460-33,sap173
4903,화이트앤블루의원,전남 여수시 망마로 25 (학동),sap174
4904,나인피부과,서울 서초구 강남대로 463 (서초동. 리젠메디컬타워),sap175
4905,데이샤인의원,경기 화성시 효행로 1052 (병점동. 씨네샤르망),sap176
4907,더차오름의(더차오름클리닉),대구 달서구 달구벌대로 1545 (죽전동. 골든뷰 메디타워),sap177
4908,주식회사 엠에스지,서울 강남구 봉은사로 125 (논현동. 리스트 강남(List Gangnam)),sap178
4909,씨앤미의원구미점,경북 구미시 구미중앙로 83 (원평동),sap179
4910,씨앤미의원 경주점,경북 경주시 화랑로 110 (동부동),sap180
4911,군산아름다운피부과의원,전북특별자치도 군산시 월명로 248 (수송동),sap181
4913,미미썸의원광주점,광주 서구 죽봉대로 80 (농성동),sap182
4914,라민의원,서울 중구 무교로 19 (무교동. 더익스체인지서울몰),sap183
4915,레이의원,서울 강남구 선릉로153길 13 (신사동. 한조빌딩),sap184
4916,어뉴의원,서울 중구 무교로 12 (무교동. 정오빌딩),sap185
4917,나우메디의원,제주특별자치도 제주시 연북로 511 (아라일동. 에이플렉스),sap186
4918,씨앤미의원 포항점,경북 포항시 북구 중앙상가길 52 (상원동),sap187
4919,바로그의원울산점,울산 남구 삼산로 287 (삼산동),sap188
4920,블리비의원 김해,경남 김해시 가락로 24 (부원동),sap189
4921,밴스의원 부산,부산 부산진구 서면로68번길 48 (부전동),sap190
4925,블리비의원 평택,경기 평택시 중앙2로 13 (평택동),sap191
4926,아비쥬의원,서울 동대문구 왕산로 214 (전농동. 청량리역.롯데백화점),sap192
4927,리프톤피부과의원,서울 강남구 도산대로 119 (신사동),sap193
4929,롤리팝성형외과의원,서울 강남구 신사동 514-2,sap194
4930,셀린의원 용인수지,경기 용인시 수지구 수지로296번길 51-12 (풍덕천동),sap195
4931,이에스청담성형외과의원,서울 강남구 도산대로 435 (청담동. 삼이빌딩),sap196
4932,예쁨주의쁨의원,서울 강서구 공항대로 282 (내발산동. 현웅빌딩),sap197
4933,톤즈의원 홍대점,서울 마포구 양화로 140 (동교동),sap198
4934,블리비의원 김포,경기 김포시 김포한강4로 531 (구래동),sap199
4935,바로그의원 강남,서울 강남구 강남대로 410 (역삼동. 우신빌딩),sap200
4936,광화문헤리티크피부과의원,서울 종로구 새문안로 91 (신문로1가. 광화문 고려빌딩),sap201
4938,올림피움채움의원 수원점,경기 수원시 영통구 덕영대로 1470 (망포동. 망포역 플래티넘베이스),sap202
4939,타임뷰의원,경기 남양주시 별내중앙로 24 (별내동),sap203
4941,송도오라클피부과,인천 연수구 하모니로178번길 6 (송도동),sap204
4942,블리비의원 고양,경기 고양시 일산동구 정발산로 38 (장항동. 장항동이스턴시티),sap205
